ingr_code,name_ko,name_en
D000439,벤즈브로마론,Benzbromarone
D000768,카페시타빈,Capecitabine
D000013,베타네콜,Bethanechol
D000724,비칼루타미드,Bicalutamide
D000451,아리피프라졸,Aripiprazole
D000237,부설판,Busulfan
D000015,보센탄,Bosentan
D000020,블로난세린,Blonanserin
D000247,실로스타졸,Cilostazol
D000376,클로람부실,Chlorambucil
D000199,덱사메타손,Dexamethasone
D000732,시클로포스파미드,Cyclophosphamide
D000394,다나졸,Danazol
D000582,콜키신,Colchicine
D000449,시타라빈,Cytarabine
D000788,데프라자코르트,Deflazacort
D000293,닥티노마이신,Dactinomycin
D000243,시클로페닐,Cyclofenil
D000478,클로미펜,Clomifene
D000691,다카르바진,Dacarbazine
D000198,다우노루비신,Daunorubicin
D000292,다사티닙,Dasatinib
D000664,에스트로겐,Estrogens
D000733,시프로테론,Cyproterone
D000609,데시타빈,Decitabine
D000396,다비가트란에텍실레이트,Dabigatran etexilate
D000057,클로파라빈,Clofarabine
D000674,크리조티닙,Crizotinib
D000055,클로니딘,Clonidine
D000693,데가렐릭스,Degarelix
D000375,클로나제팜,Clonazepam
D000085,덱스메데토미딘,Dexmedetomidine
D000503,독시사이클린,Doxycycline
D000502,독소루비신,Doxorubicin
D000154,에토포시드,Etoposide
D000349,에스몰롤,Esmolol
D000504,독시플루리딘,Doxifluridine
D000555,에스트로피페이트,Estropipate
D000748,에스트라디올,Estradiol
D000464,에피루비신,Epirubicin
D000462,에스트라머스틴,Estramustine
D000559,에프로사르탄,Eprosartan
D000610,두타스테리드,Dutasteride
D000465,엘로티닙,Erlotinib
D000461,에베로리무스,Everolimus
D000611,디드로게스테론,Dydrogesterone
D000295,도세탁셀,Docetaxel
D000257,에토숙시미드,Ethosuximide
D000034,에리불린,Eribulin
D000201,드로네다론,Dronedarone
D000107,피나스테리드,Finasteride
D000750,에스트리올,Estriol
D000038,엑스메스탄,Exemestane
D000512,페소테로딘,Fesoterodine
D000402,페북소스타트,Febuxostat
D000212,플레카이니드아세테이트,Flecainide Acetate
D000519,핀골리모드,Fingolimod
D000798,푸로세미드,Furosemide
D000075,겐타마이신,Gentamicin
D000623,플루오로우라실,Fluorouracil
D000284,가벡세이트,Gabexate
D000417,히드록시클로로퀸,Hydroxychloroquine
D000410,플루나리진,Flunarizine
D000129,플루드로코르티손,Fludrocortisone
D000522,히드로코르티손,Hydrocortisone
D000170,제미플록사신,Gemifloxacin
D000073,간시클로버,Ganciclovir
D000048,난포자극호르몬,Follicle stimulating hormone
D000366,젬시타빈,Gemcitabine
D000074,게피티니브,Gefitinib
D000099,풀베스트란트,Fulvestrant
D000387,가도부트롤,Gadobutrol
D000725,산화가돌리늄,Gadolinium Oxide
D000105,플루다라빈,Fludarabine
D000412,플루오로프로필씨아이티(18F),Fluoropropyl-CIT(18F)
D000209,포스페니토인,Fosphenytoin
D000705,플루르비프로펜,Flurbiprofen
D000077,골리무맙,Golimumab
D000286,글라티라머,Glatiramer
D000688,가니렐릭스,Ganirelix
D000114,히드록시진,Hydroxyzine
D000416,히드록시우레아,Hydroxyurea
D000577,인슐린,Insulin
D000344,아이다루비신,Idarubicin
D000668,이반드론산,Ibandronic acid
D000162,이매티닙,Imatinib
D000578,일로프로스트,Iloprost
D000574,이포스파마이드,Ifosfamide
D000047,이미다페나신,Imidafenacin
D000166,인다카테롤,Indacaterol
D000572,이소소르비드,Isosorbide
D000116,류프로렐린,Leuprorelin
D000758,이소트레티노인,Isotretinoin
D000161,이리노테칸,Irinotecan
D000096,레트로졸,Letrozole
D000300,라모트리진,Lamotrigine
D000510,레비티라세탐,Levetiracetam
D000400,란레오티드,Lanreotide
D000562,엘아스파라기나제,Asparaginase
D000743,알데스류킨,"Interleukin-2, Aldesleukin"
D000791,라파티닙,Lapatinib
D000217,레플루노미드,Leflunomide
D000163,이소플루란,Isoflurane
D000167,인터페론베타-1a,Interferon Beta-1a
D000509,레날리도마이드,Lenalidomide
D000205,라코사미드,Lacosamide
D000050,카나마이신,Kanamycin
D000059,탄산리튬,Lithium Carbonate
D000312,리마프로스트,Limaprost
D000523,로메플록사신,Lomefloxacin
D000617,레보노르게스트렐,Levonorgestrel
D000420,로베글리타존,Lobeglitazone
D000135,빈크리스틴,Vincristine
D000473,조니사미드,Zonisamide
D000642,빈블라스틴,Vinblastine
D000369,죠테핀,Zotepine
D000723,비가바트린,Vigabatrin
D000567,와파린,Warfarin
D000173,지프라시돈,Ziprasidone
D000221,로테프레드놀 에타보네이트,Loteprednol Etabonate
D000663,약독 황열 생바이러스 17D(AB237주),"Live, attenuated, Yellow Fever virus 17D"
D000368,졸레드론산,Zoledronic acid
D000683,트리암시놀론,Triamcinolone
D000486,토브라마이신,Tobramycin
D000488,트레티노인,Tretinoin
D000061,테를리프레신,Terlipressin
D000593,트립토렐린,Triptorelin
D000063,테스토스테론,Testosterone
D000772,토포테칸,Topotecan
D000382,트라보프로스트,Travoprost
D000489,티오콜키코시드,Thiocolchicoside
D000065,토피라메이트,Topiramate
D000588,토르세미드,Torsemide
D000068,티볼론,Tibolone
D000131,발간시클로비르,Valganciclovir
D000589,토수플록사신,Tosufloxacine
D000591,트라스투주맙,Trastuzumab
D000381,테모졸로미드,Temozolomide
D000482,탈리도마이드,Thalidomide
D000682,트라벡테딘,Trabectedin
D000775,트라페르민,Trafermin
D000587,템시롤리무스,Temsirolimus
D000776,트레프로스티닐,Treprostinil
D000361,울리프리스탈,Ulipristal
D000771,토실리주맙,Tocilizumab
D000182,타이제사이클린,Tigecycline
D000241,스트렙토마이신,Streptomycin
D000483,테가푸르,Tegafur
D000022,소타롤,Sotalol
D000023,수니티닙말산염,Sunitinib Malate
D000547,소라페닙,Sorafenib
D000481,타플루프로스트,Tafluprost
D000139,셀레길린염산염,Selegiline Hydrochloride
D000223,리바비린,Ribavirin
D000224,리세드론산,Risedronic Acid
D000313,리툭시맙,Rituximab
D000710,리루졸,Riluzole
D000401,레고라페닙,Regorafenib
D000408,프로필티오우라실,Propylthiouracil
D000406,프레드니솔론,Prednisolone
D000621,프란루카스트,Pranlukast
D000508,라록시펜,Raloxifene
D000093,라니비주맙,Ranibizumab
D000094,랄테그라빌,Raltegravir
D000104,플레릭사포르,Plerixafor
D000471,요오드화칼륨,Potassium Iodide
D000299,라도티닙,Radotinib
D000102,프루칼로프라이드,Prucalopride
D000797,폴라프레징크,Polaprezinc
D000515,프로파페논,Propafenone
D000667,옥시토신,Oxytocin
D000566,옥시메톨론,Oxymetholone
D000121,메드록시프로게스테론,Medroxyprogesterone
D000685,파미드론산,Pamidronate
D000189,파클리탁셀,Paclitaxel
D000263,옥스카르바제핀,Oxcarbazepine
D000403,펜토라민,Phentolamine
D000043,옥살리플라틴,Oxaliplatin
D000715,메게스트롤,Megestrol
D000490,파조파닙,Pazopanib
D000596,페라미비르,Peramivir
D000285,과플루오르부탄,Perfluoro-n-butane
D000303,페메트렉시드,Pemetrexed
D000190,퍼투주맙,Pertuzumab
D000466,노르트립틸린,Nortriptyline
D000126,메티마졸,Methimazole
D000605,노르플록사신,Norfloxacin
D000666,오플록사신,Ofloxacin
D000005,메틸프레드니솔론,Methylprednisolone
D000123,메르캅토푸린,Mercaptopurine
D000317,메노트로핀,Menotropins
D000082,노르에피네프린,Norepinephrine
D000320,멜팔란,Melphalan
D000787,니트로푸루시드,Nitroprusside
D000228,메틸에르고메트린,Methylergometrine
D000786,노르에티스테론,Norethisterone
D000127,미노사이클린,Minocycline
D000531,미토마이신씨,Mitomycin C
D000532,미톡산트론,Mitoxantrone
D000634,미조리빈,Mizoribine
D000233,미소프로스톨,Misoprostol
D000499,니코틴,Nicotine
D000325,미코페놀레이트,Mycophenolate
D000602,나파모스타트,Nafamostat
D000603,네오마이신,Neomycin
D000289,네포팜염산염,Nefopam Hydrochloride
D000432,미글루스타트,Miglustat
D000008,미라베그론,Mirabegron
D000119,마시텐탄,Macitentan
D000290,니코틴산,Nicotinic acid
D000783,날리딕스산,Nalidixic Acid
D000343,아만타딘,Amantadine
D000953,미토테인,Mitotane
D000959,프레가발린,Pregabalin
D000259,아미오다론,Amiodarone
D000613,디에노게스트,Dienogest
D000064,테트라사이클린,Tetracycline
D000240,사르포그렐레이트,Sarpogrelate
D000180,클로자핀,Clozapine
D000568,요오드화나트륨(131I),Sodium Iodide(131I)
D000524,로플루밀라스트,Roflumilast
D000845,암리논,Amrinone
D000985,인터페론베타-1b,Interferon beta-1b
D000659,알테수네이트,Artesunate
D000051,카르비도파,Carbidopa
D000134,브롬페니라민,Brompheniramine
D000749,에티닐에스트라디올,Ethinyl estradiol
D000428,모엑시프릴,Moexipril
D000770,클로람페니콜,Chloramphenicol
D000018,부프로피온염산염,Bupropion Hydrochloride
D000569,유데나필,Udenafil
D000128,미로데나필,Mirodenafil
D001017,아파티닙,Afatinib
D001003,토파시티닙,Tofacitinib
D001015,유메클리디늄,Umeclidinium
D001019,데노수맙,Denosumab
D001013,플로르베타벤(18F),Florbetaben(18F)
D001060,에독사반,Edoxaban
D000177,코데인,Codeine
D000480,클린다마이신,Clindamycin
D000631,메살라진,Mesalazine
D000633,모메타손,Mometasone
D000447,세인트존스워트,St. Johns Wort
D001059,자보플록사신,Zabofloxacin
D001062,페람파넬,Perampanel
D001009,플루트메타몰(18F),Flutemetamol (18F)
D001005,올로다테롤,Olodaterol
D001064,세쿠키누맙,Secukinumab
D001061,렌바티닙,Lenvatinib
D001072,레디파스비르,Ledipasvir
D001067,라무시루맙,Ramucirumab
D001068,프로포폴,Propofol
D000092,디히드로코데인,Dihydrocodeine
D000878,히드로코돈,Hydrocodone
D000573,이소프로필안티피린,Isopropylantipyrine
D001318,데스플루란,Desflurane
D000388,가바펜틴,Gabapentin
D001279,루피나미드,Rufinamide
D001316,레미펜타닐,Remifentanil
D001317,수펜타닐,Sufentanil
D000557,에토미데이트,Etomidate
D001319,케타민,Ketamine
D001320,티오펜탈,Thiopental
D000207,포수클로랄,Chloral Hydrate
D000265,이소니아지드,Isoniazid
D000549,시클로세린,Cycloserine
D001324,에탐부톨,Ethambutol
D000546,설파메톡사졸,Sulfamethoxazole
D000802,피라진아미드,Pyrazinamide
D000314,리팜피신,Rifampicin
D000615,라미부딘,Lamivudine
D001321,카스포펀진,Caspofungin
D000318,메만틴,Memantine
D001325,엔테카비르,Entecavir
D001322,미카펑긴,Micafungin
D000689,갈란타민,Galantamine
D001273,팜프리딘,Fampridine
D001323,델라마니드,Delamanid
D000553,알로푸리놀,Allopurinol
D001342,도파민,Dopamine
D000702,펜톡시필린,Pentoxifylline
D000393,날록손,Naloxone
D000838,포르모테롤,Formoterol
D001345,스트렙토키나제/스트렙토도르나제,Streptokinase/Streptodornase
D001332,도베실산칼슘,Calcium dobesilate
D001383,디아세레인,Diacerein
D001338,프로티렐린,Protirelin
D001331,미도드린,Midodrine
D001261,알테플라제,Alteplase
D001344,스트렙토키나제,Streptokinase
