dur_code,ingr_code_a,ingr_code_b,prohibit_content,notification_date,rule_version,source_ref
USJNT_TABOO,D000297,D000793,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000425,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000430,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000719,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000608,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000226,D000297,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000213,D000809,QT연장,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000835,중증의 위장관계 이상반응,2008-01-01,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000122,D000535,간질발작 재발,2009-12-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000560,D000583,,2016-12-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000422,D000560,,2016-12-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000329,D000571,,2016-12-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000571,D000818,,2016-12-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000595,D001071,소포스부비르 혈장 농도를 현저히 떨어트려 소포스부비르의 치료 효과를 감소시킬 수 있음,2017-11-06,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000385,D000762,티카그렐러는 이트라코나졸에 의해 혈장농도가 증가 가능,2018-11-02,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000632,D001071,소포스부비르 농도를 감소시켜 소포스부비르의 치료 효과를 감소시킬 수 있음,2017-11-06,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000027,D000405,횡문근융해증 발생 가능,2023-12-20,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000476,D001071,소포스부비르 혈장 농도를 현저히 떨어트려 소포스부비르의 치료 효과를 감소시킬 수 있음,2017-11-06,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000103,D001071,소포스부비르 혈장 농도를 현저히 떨어트려 소포스부비르의 치료 효과를 감소시킬 수 있음,2017-11-06,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000282,D001071,소포스부비르 혈장 농도를 현저히 떨어트려 소포스부비르의 치료 효과를 감소시킬 수 있음,2017-11-06,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000334,D000455,"근육병증, 횡문근융해 위험 증가 가능",2023-12-20,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000592,D000762,triazolam 의 약리학적 효과 및 작용(수면유도 및 진정작용 등의 중추신경 억제 효과) 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000353,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000336,"세로토닌성 증후군 (고열, 간대성근경련, 정신상태 변화등)",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000660,D000762,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000650,D000747,상가적인 혈관경련,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000202,D000628,"맥각독성(혈관경련, 말단 및 기타조직 허혈)위험증가",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000419,D000762,횡문근융해증,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000419,D000769,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000019,D000716,간 독성,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000660,D000769,"alprazolam의 혈장농도 증가, 수면 및 진정작용 증강 및 연장",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000540,혈압상승,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000373,D000719,심실부정맥(Torsade de pointes),2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000202,D000650,"혈압 상승 및 에르고티즘(말초혈관수축 증가, 경련, 사지허혈) 위험 증가",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000503,D000758,두개내 고혈압,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000255,D000413,"피리독신은 신경독성을 현저하게 감소시켰으나 반응기간에는 역효과, 알트레타민의 치료효과 감소",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000719,QT연장 등,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000127,D000758,테트라사이클린 가성뇌종양 보고,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000064,D000758,테트라사이클린 가성뇌종양 보고,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000754,D000758,테트라사이클린 가성뇌종양 보고,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000426,D000719,mizolastine의 혈중농도 상승,2008-04-01,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000323,"구역, 구토, 안면홍조, 어지러움, 진전, 산동, 강직, 발한, 고온증, 심장지표의 빠른 변화, 자율신경계의 불안정, 정신상태의 변화",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000628,D000719,"말초혈관경련, 사지허혈, 감각이상등",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
